Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC
Random Forest,0.725,0.8244274809160306,0.7714285714285715,0.7970479704797048,0.7745238095238095,0.7933035714285714
Logistic Regression,0.675,0.8378378378378378,0.6642857142857143,0.7410358565737052,0.7599999999999999,0.7844122023809523
Gradient Boosting,0.76,0.8108108108108109,0.8571428571428571,0.8333333333333334,0.7505952380952381,0.7796874999999999
XGBoost,0.74,0.8013698630136986,0.8357142857142857,0.8181818181818182,0.7480952380952381,0.7754092261904761
